epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3582,3.42059,5.34724,3.79283,0,0,0,0,2.7953,7.28018,3.26517,0.000367141,0.000367141,0.000367141
2,101.317,2.37004,3.44918,2.61291,0.49356,0.13304,0.1781,0.06911,2.01442,3.03994,2.62446,0.000734554,0.000734554,0.000734554
3,150.746,1.81798,2.54071,2.09885,0.20411,0.42836,0.32227,0.17505,1.51231,2.47388,2.00147,0.00109903,0.00109903,0.00109903
4,198.943,1.58546,2.10905,1.88412,0.4751,0.48843,0.49249,0.29175,1.2997,3.25777,1.78369,0.0010978,0.0010978,0.0010978
5,245.919,1.42238,1.77456,1.71085,0.47725,0.7311,0.57504,0.37704,1.16425,4.31212,1.68632,0.0010934,0.0010934,0.0010934
6,289.635,1.3625,1.63446,1.66641,0.43035,0.64762,0.54104,0.31464,1.2099,2.32372,1.65021,0.001089,0.001089,0.001089
7,334.086,1.28455,1.48256,1.59128,0.4614,0.72121,0.60341,0.40783,1.09941,2.13539,1.55355,0.0010846,0.0010846,0.0010846
8,376.172,1.242,1.37585,1.54188,0.60332,0.76048,0.69831,0.48647,1.05947,1.81585,1.53946,0.0010802,0.0010802,0.0010802
9,417.154,1.18465,1.25207,1.47725,0.61008,0.75068,0.74429,0.5348,1.012,1.47131,1.46487,0.0010758,0.0010758,0.0010758
10,453.745,1.14535,1.19398,1.44995,0.66233,0.82329,0.76863,0.55006,1.03718,1.42722,1.49907,0.0010714,0.0010714,0.0010714
11,490.282,1.13294,1.18103,1.46224,0.65607,0.82298,0.78257,0.56923,1.00261,1.36643,1.45848,0.001067,0.001067,0.001067
12,526.875,1.13074,1.13203,1.42952,0.66806,0.78912,0.77937,0.56432,0.99767,1.33555,1.44941,0.0010626,0.0010626,0.0010626
13,563.601,1.09,1.08155,1.41687,0.6729,0.75034,0.78126,0.56435,1.00735,1.71216,1.46284,0.00105821,0.00105821,0.00105821
14,604.3,1.08292,1.06237,1.40214,0.70737,0.89138,0.79861,0.59249,0.91673,1.18986,1.36388,0.00105381,0.00105381,0.00105381
15,646.355,1.08186,1.05084,1.40645,0.73549,0.86737,0.86983,0.64669,0.92766,1.53105,1.37101,0.00104941,0.00104941,0.00104941
16,689.14,1.05387,0.99058,1.36007,0.77824,0.82124,0.85311,0.62765,0.94911,1.38752,1.38975,0.00104501,0.00104501,0.00104501
17,733.402,1.05577,0.96893,1.36433,0.78328,0.91112,0.88791,0.66304,0.91276,1.02034,1.35898,0.00104061,0.00104061,0.00104061
18,778.832,1.03297,0.95451,1.36477,0.81495,0.88377,0.88556,0.65653,0.92128,1.31735,1.38663,0.00103621,0.00103621,0.00103621
19,820.66,1.05358,0.93594,1.36351,0.78774,0.8769,0.87269,0.66628,0.89767,0.96841,1.34436,0.00103181,0.00103181,0.00103181
20,862.582,1.02382,0.93193,1.33295,0.72623,0.86622,0.84545,0.60217,0.98618,1.51467,1.40383,0.00102741,0.00102741,0.00102741
21,904.233,1.04591,0.90941,1.35133,0.80562,0.91785,0.91084,0.68018,0.92292,1.07673,1.36304,0.00102301,0.00102301,0.00102301
22,946.811,1.01343,0.86886,1.3194,0.78285,0.88612,0.90048,0.68292,0.89834,1.22996,1.34426,0.00101861,0.00101861,0.00101861
23,987.99,0.99981,0.87658,1.31758,0.79049,0.87266,0.8849,0.67802,0.86533,1.02995,1.30995,0.00101421,0.00101421,0.00101421
